,index,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,churned_within_30_days,p0,p1
0,119554,0.6931471805600001,0.6931471805600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,0.998086517356,c,a,0,0.8921843051910401,0.10781569480895993
1,175181,5.9939614273099995,4.36944785247,1.60943791243,1.60943791243,0.6931471805600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7917594692299998,1.7917594692299998,106,0.9939626599150001,c,b,0,0.9965178668498992,0.003482133150100708
2,159519,6.432940092740001,3.4965075614699996,3.4011973816600003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60943791243,1.60943791243,106,1.17888056685,c,a,0,0.97613822221756,0.02386177778244014
3,116680,1.3862943611200003,1.3862943611200003,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805600001,0.6931471805600001,0.0,0.0,0.0,0.0,106,1.04728839257,c,a,0,0.922721016407013,0.07727898359298703
4,143345,5.36129216571,3.6375861597300005,0.6931471805600001,0.6931471805600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415416799996,2.0794415416799996,103,1.06557523376,c,a,0,0.9705734014511108,0.029426598548889182
5,152853,4.927253685159999,3.9318256327199994,1.3862943611200003,1.3862943611200003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611200003,1.3862943611200003,106,1.08143435429,c,a,0,0.9836999535560608,0.01630004644393923
6,146378,7.413970290189999,5.35658627467,2.8903717579,3.13549421593,2.83321334406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83321334406,2.94443897917,103,1.02949889536,c,b,0,0.9972390592098236,0.0027609407901764142
7,175338,7.3870902356600014,5.1817835502900005,1.3862943611200003,1.09861228867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83321334406,3.0910424533599996,106,1.01503476305,c,b,0,0.9976227819919586,0.00237721800804136
8,150116,5.79605775077,3.36729582999,1.3862943611200003,1.60943791243,0.6931471805600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09861228867,1.09861228867,103,0.959158109119,c,a,0,0.9768268525600432,0.023173147439956687
9,154834,7.4747721824,5.0369526024099995,2.7080502011000003,2.83321334406,0.0,0.0,0.0,0.0,0.6931471805600001,0.6931471805600001,0.0,0.0,2.63905732962,3.295836866,106,1.11518982063,c,a,0,0.9854333400726318,0.014566659927368162
10,147881,3.5263605246199994,2.19722457734,0.6931471805600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805600001,0.6931471805600001,103,0.962436871074,c,b,0,0.9879168748855592,0.012083125114440874
11,143015,6.18001665365,3.6375861597300005,1.7917594692299998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805600001,0.6931471805600001,103,1.0694215061399999,c,a,0,0.9731795907020568,0.02682040929794316
12,143632,7.003974136719999,5.06890420222,2.19722457734,2.0794415416799996,1.7917594692299998,0.0,0.0,1.60943791243,0.0,0.0,0.0,0.0,2.3025850929900002,2.63905732962,103,1.06165353948,c,b,0,0.9965757369995116,0.003424263000488259
13,163499,3.6375861597300005,2.5649493574599997,0.6931471805600001,0.6931471805600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805600001,0.6931471805600001,106,1.1058858175,a,b,0,0.988866686820984,0.011133313179016113
14,156860,5.04985600725,3.0910424533599996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,1.1339761845999998,c,a,0,0.9065128147602082,0.09348718523979184
15,111479,3.4965075614699996,2.19722457734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805600001,0.6931471805600001,106,1.11518982063,c,a,0,0.9348006308078766,0.06519936919212344
16,159313,4.24849524205,2.48490664979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805600001,0.0,0.0,1.09861228867,1.09861228867,106,1.19779228338,c,a,0,0.9401769459247588,0.059823054075241126
17,116620,6.115892125479999,4.11087386417,2.63905732962,2.83321334406,0.6931471805600001,0.0,0.0,0.0,0.6931471805600001,0.0,0.6931471805600001,0.0,1.94591014906,2.19722457734,106,1.0329571947799998,c,a,0,0.9973408043384552,0.002659195661544822
18,117907,6.931471805599999,5.099866427819999,1.94591014906,1.94591014906,0.0,0.0,0.0,0.0,0.6931471805600001,0.6931471805600001,0.0,0.0,3.21887582487,3.4657359027999997,106,1.01997328556,c,a,0,0.9794212818145752,0.020578718185424786
19,119579,6.74641212857,4.948759890380001,2.19722457734,2.83321334406,1.60943791243,0.0,0.0,0.0,0.6931471805600001,0.6931471805600001,0.0,0.0,2.5649493574599997,3.0910424533599996,106,0.9939626599150001,c,a,0,0.9867768585681916,0.013223141431808472
20,157966,6.67834211465,4.804021044730001,0.6931471805600001,0.0,0.6931471805600001,0.6931471805600001,0.0,0.0,0.0,0.0,0.0,0.0,2.83321334406,2.9957322735500003,106,1.20994669105,c,b,0,0.9957401812076568,0.004259818792343162
21,144287,4.70953020131,3.13549421593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103,0.9210340371979999,c,a,0,0.914165246486664,0.08583475351333614
22,150298,4.770684624469999,3.61091791264,1.3862943611200003,1.3862943611200003,1.09861228867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60943791243,1.60943791243,103,0.9939626599150001,c,a,0,0.9774650037288666,0.022534996271133426
23,102650,3.8286413964899997,2.94443897917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,1.04834940301,c,a,0,0.8907858490943908,0.10921415090560917
24,161306,4.59511985013,2.7725887222400005,0.6931471805600001,0.0,0.6931471805600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805600001,0.6931471805600001,106,1.19064866686,c,a,0,0.9389449059963226,0.061055094003677375
25,131126,0.6931471805600001,0.6931471805600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103,1.20565570405,a,a,0,0.8730117797851562,0.1269882202148438
26,167783,4.53259949315,2.3025850929900002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805600001,0.6931471805600001,106,1.04407116502,c,b,0,0.9903104901313782,0.009689509868621826
