,index,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17_a,f17_b,f17_c,f18_a,f18_b,f18_c,churned_within_30_days
0,119554,0.6931471805600001,0.6931471805600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,0.998086517356,0,0,1,1,0,0,0
1,175181,5.9939614273099995,4.36944785247,1.60943791243,1.60943791243,0.6931471805600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7917594692299998,1.7917594692299998,106,0.9939626599150001,0,0,1,0,1,0,0
2,159519,6.432940092740001,3.4965075614699996,3.4011973816600003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60943791243,1.60943791243,106,1.17888056685,0,0,1,1,0,0,0
3,116680,1.3862943611200003,1.3862943611200003,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805600001,0.6931471805600001,0.0,0.0,0.0,0.0,106,1.04728839257,0,0,1,1,0,0,0
4,143345,5.36129216571,3.6375861597300005,0.6931471805600001,0.6931471805600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415416799996,2.0794415416799996,103,1.06557523376,0,0,1,1,0,0,0
5,152853,4.927253685159999,3.9318256327199994,1.3862943611200003,1.3862943611200003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611200003,1.3862943611200003,106,1.08143435429,0,0,1,1,0,0,0
6,146378,7.413970290189999,5.35658627467,2.8903717579,3.13549421593,2.83321334406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83321334406,2.94443897917,103,1.02949889536,0,0,1,0,1,0,0
7,175338,7.3870902356600014,5.1817835502900005,1.3862943611200003,1.09861228867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83321334406,3.0910424533599996,106,1.01503476305,0,0,1,0,1,0,0
8,150116,5.79605775077,3.36729582999,1.3862943611200003,1.60943791243,0.6931471805600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09861228867,1.09861228867,103,0.959158109119,0,0,1,1,0,0,0
9,154834,7.4747721824,5.0369526024099995,2.7080502011000003,2.83321334406,0.0,0.0,0.0,0.0,0.6931471805600001,0.6931471805600001,0.0,0.0,2.63905732962,3.295836866,106,1.11518982063,0,0,1,1,0,0,0
