,index,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,churned_within_30_days,p0,p1
0,119554,0.6931471805600001,0.6931471805600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,0.998086517356,c,a,0,0.9314360290444652,0.06856397095553493
1,175181,5.9939614273099995,4.36944785247,1.60943791243,1.60943791243,0.6931471805600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7917594692299998,1.7917594692299998,106,0.9939626599150001,c,b,0,0.981077348308682,0.018922651691317918
2,159519,6.432940092740001,3.4965075614699996,3.4011973816600003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60943791243,1.60943791243,106,1.17888056685,c,a,0,0.9703850648506156,0.029614935149384538
3,116680,1.3862943611200003,1.3862943611200003,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805600001,0.6931471805600001,0.0,0.0,0.0,0.0,106,1.04728839257,c,a,0,0.953483147481298,0.04651685251870199
4,143345,5.36129216571,3.6375861597300005,0.6931471805600001,0.6931471805600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415416799996,2.0794415416799996,103,1.06557523376,c,a,0,0.9645958761652,0.03540412383480005
5,152853,4.927253685159999,3.9318256327199994,1.3862943611200003,1.3862943611200003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611200003,1.3862943611200003,106,1.08143435429,c,a,0,0.971780054526124,0.028219945473875963
6,146378,7.413970290189999,5.35658627467,2.8903717579,3.13549421593,2.83321334406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83321334406,2.94443897917,103,1.02949889536,c,b,0,0.9809602174026556,0.019039782597344502
7,175338,7.3870902356600014,5.1817835502900005,1.3862943611200003,1.09861228867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83321334406,3.0910424533599996,106,1.01503476305,c,b,0,0.9806617039499722,0.019338296050027792
8,150116,5.79605775077,3.36729582999,1.3862943611200003,1.60943791243,0.6931471805600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09861228867,1.09861228867,103,0.959158109119,c,a,0,0.9722822517325922,0.027717748267407843
9,154834,7.4747721824,5.0369526024099995,2.7080502011000003,2.83321334406,0.0,0.0,0.0,0.0,0.6931471805600001,0.6931471805600001,0.0,0.0,2.63905732962,3.295836866,106,1.11518982063,c,a,0,0.9740266363903498,0.025973363609650184
10,147881,3.5263605246199994,2.19722457734,0.6931471805600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805600001,0.6931471805600001,103,0.962436871074,c,b,0,0.9808374769288384,0.019162523071161675
11,143015,6.18001665365,3.6375861597300005,1.7917594692299998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805600001,0.6931471805600001,103,1.0694215061399999,c,a,0,0.9723140952344672,0.027685904765532718
12,143632,7.003974136719999,5.06890420222,2.19722457734,2.0794415416799996,1.7917594692299998,0.0,0.0,1.60943791243,0.0,0.0,0.0,0.0,2.3025850929900002,2.63905732962,103,1.06165353948,c,b,0,0.979891908811158,0.02010809118884201
13,163499,3.6375861597300005,2.5649493574599997,0.6931471805600001,0.6931471805600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805600001,0.6931471805600001,106,1.1058858175,a,b,0,0.981092718462332,0.01890728153766806
14,156860,5.04985600725,3.0910424533599996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,1.1339761845999998,c,a,0,0.9133733949894554,0.08662660501054469
15,111479,3.4965075614699996,2.19722457734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805600001,0.6931471805600001,106,1.11518982063,c,a,0,0.9444117347526434,0.05558826524735664
16,159313,4.24849524205,2.48490664979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805600001,0.0,0.0,1.09861228867,1.09861228867,106,1.19779228338,c,a,0,0.9449414370577272,0.05505856294227282
